Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
274,62.9,4,1,1,Trader,M ,Fair,6-10 cedis,3,Close                                                               Foot,No,Excellent,Good,60,Yes,No,No,Less than an hour,Regularly,Not at all,No,No,No,,
275,63,4,1,1,Trader,M ,Good,6-10 cedis,3,Far                                                                    Commercial vehicle,Yes,Excellent,Good,52,Maybe,Maybe,Yes,Less than an hour,Regularly,Sometimes,No,No,No,,
276,63.2,4,1,1,Trader,M ,Good,6-10 cedis,3,Far                                                                    Guardian's car,No,Average,Excellent,60,No,Yes,Yes,1 hour,Irregularly,Not at all,Yes,Yes,Yes,Sports,No
277,63.2,4,0,1,Trader,M ,Fair,2-5 cedis cedis,1,Very Far                                                          Foot,No,Excellent,Average,62,No,No,No,1 hour,Regularly,Sometimes,No,No,No,,
278,63.3,4,0,1,Trader,M ,Good,6-10 cedis,3,Very Close                                                    Foot,No,Excellent,Average,40,Yes,No,Yes,2 hours above,Regularly,Sometimes,Yes,Yes,Yes,,
279,63.3,4,0,1,Trader,high,Good,6-10 cedis,3,Close                                                               Foot,Maybe,Excellent,Good,32,Yes,No,Yes,1 hour,Regularly,Not at all,No,No,No,,
280,63.5,4,0,1,Teacher,M ,Fair,6-10 cedis,3,Far                                                                     Commercial vehicle,Maybe,Excellent,Average,39,No,Maybe,Yes,Less than an hour,Regularly,Sometimes,Yes,Yes,No,,
281,63.5,4,0,1,Trader,M ,Good,11 cedis and above,3,Far                                                                      Commercial vehicle,Yes,Average,Excellent,39,No,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
282,64,4,0,1,Trader,M ,Good,6-10 cedis,1,Far                                                                      Commercial vehicle,Maybe,Average,Average,36,Maybe,Maybe,Yes,Less than an hour,Regularly,Sometimes,No,Yes,No,,
283,64,4,0,1,Trader,M ,Fair,6-10 cedis,3,Close                                                               Foot,No,Excellent,Excellent,32,Yes,Yes,Maybe,1 hour,Regularly,Sometimes,Yes,Yes,No,,
284,64.3,4,0,2,Teacher,M ,Good,6-10 cedis,3,Far                                                                      Commercial vehicle,No,Average,Excellent,93,Yes,No,No,1 hour,Regularly,Sometimes,Yes,Yes,No,,
285,64.3,4,1,1,Accountant,M ,Good,6-10 cedis,2,Far                                                                      Commercial vehicle,Yes,Excellent,Excellent,38,Yes,No,Maybe,2 hours above,Regularly,Sometimes,Yes,Yes,Yes,Coding,Yes
286,64.4,4,0,2,Caterer,M ,Good,11 cedis and above,3,Far                                                                      Commercial vehicle,No,Excellent,Good,55,No,No,Maybe,1 hour,Regularly,Not al all,Yes,Yes,No,,
287,64.6,4,0,1,Lawyer,M ,Good,6-10 cedis,1,Far                                                                     School bus,No,Excellent,Good,55,Yes,No,Yes,2 hours above,Regularly,Sometimes,Yes,Yes,Yes,Sports,Yes
288,64.6,4,0,1,Driver,M ,Good,2-5 cedis cedis,3,Very Far                                                          Foot,No,Excellent,Good,56,Yes,Yes,Yes,Less than an hour,Regularly,Often,Yes,Yes,No,,
289,64.7,4,0,1,Trader,M ,Good,2-5 cedis cedis,3,Very Far                                                            Foot,No,Average,Good,60,Yes,Yes,No,2 hours above,Regularly,Sometimes,Yes,No,No,,
290,64.8,4,1,1,Trader,M ,Good,6-10 cedis,3,Very Close                                                    Foot,Maybe,Excellent,Good,34,Yes,No,Yes,1 hour,Regularly,Sometimes,No,No,No,,
291,65.3,3,0,1,Trader,M ,Fair,6-10 cedis,3,Far                                                                    Foot,No,Excellent,Good,37,Yes,No,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
292,65.6,3,0,2,Trader,high,Poor,2-5 cedis cedis,3,Far                                                                      Commercial vehicle,No,Excellent,Excellent,32,Yes,No,Maybe,2 hours above,Regularly,Often,No,Yes,No,,
293,65.6,3,0,1,Trader,high,Good,11 cedis and above,2,Far                                                                    Guardian's car,No,Excellent,Excellent,33,Maybe,No,Maybe,2 hours above,Regularly,Sometimes,Yes,No,No,,
294,65.6,3,0,1,Trader,M ,Good,6-10 cedis,3,Far                                                                      Foot,No,Average,Excellent,32,Maybe,Maybe,Yes,2 hours above,Regularly,Sometimes,No,Yes,No,,
295,65.7,3,0,1,Trader,M ,Good,6-10 cedis,2,Far                                                                        Commercial vehicle,Yes,Excellent,Good,32,Yes,No,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
296,66,3,0,1,Entrepreneur,M ,Good,2-5 cedis cedis,3,Close                                                                 Commercial vehicle,No,Excellent,Average,40,Maybe,Yes,Yes,1 hour,Regularly,Sometimes,Yes,No,Yes,Sports ,No
297,66.3,3,0,2,Baking,Low,Poor,2-5 cedis cedis,2,Far                                                                       Foot,Yes,Average,Average,27,No,No,No,Less than an hour,Irregularly,Sometimes,No,Yes,No,,
298,66.3,3,0,1,Trader,high,Good,6-10 cedis,3,Close                                                                   Foot,Maybe,Average,Good,38,Yes,Maybe,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
299,66.6,3,0,1,Trader,high,Good,11 cedis and above,2,Far                                                                        Commercial vehicle,Maybe,Average,Good,34,Maybe,No,Yes,1 hour,Regularly,Sometimes,Yes,Yes,Yes,Quiz,Yes
300,66.7,3,0,1,Trader,high,Good,2-5 cedis cedis,2,Far                                                                        Foot,No,Excellent,Good,60,Maybe,No,Maybe,1 hour,Not at all,Sometimes,Yes,No,No,,
301,66.9,3,0,1,Pharmacist,high,Good,6-10 cedis,3,Close                                                                    Guardian's car,No,Excellent,Good,20,Maybe,Maybe,Maybe,Less than an hour,Regularly,Sometimes,Yes,Yes,No,,
302,67,3,0,1,Doctor,M ,Good,6-10 cedis,2,Close                                                                    Guardian's car,No,Excellent,Good,20,Yes,Yes,Yes,2 hours above,Regularly,Not at all,Yes,No,No,,
303,67,3,0,2,Contractor,M ,Good,11 cedis and above,2,Very Far                                                               Guardian's car,No,Excellent,Good,20,Yes,No,Yes,2 hours above,Regularly,Not at all,Yes,No,No,,
304,67.3,3,0,2,Contractor,M ,Good,2-5 cedis cedis,2,Very Far                                                              Foot,No,Excellent,Average,45,Maybe,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,Yes,Sports,Yes
305,67.4,3,0,1,Trader,M ,Fair,6-10 cedis,3,Close                                                                    Foot,No,Average,Good,58,No,Yes,Yes,1 hour,Regularly,Not at all,No,No,No,,
306,67.6,3,0,1,Farmer,M ,Good,2-5 cedis cedis,3,Far                                                                         Foot,No,Average,Good,62,Maybe,No,Maybe,1 hour,Not at all,Not at all,Yes,No,No,,
307,67.7,3,0,1,Farmer,M ,Good,2-5 cedis cedis,2,Far                                                                         Foot,No,Average,Average,62,No,No,Maybe,1 hour,Not at all,Not at all,Yes,No,No,,
308,67.9,3,0,1,Driver,M ,Poor,2-5 cedis cedis,3,Very Far                                                               Commercial vehicle,Yes,Average,Average,58,No,No,Yes,2 hours above,Regularly,Not at all,No,No,No,,
309,68,3,0,1,Teacher,M ,Good,6-10 cedis,3,Close                                                                     Foot,No,Average,Good,33,No,No,No,2 hours above,Regularly,Sometimes,Yes,Yes,Yes,Sports,No
310,68.5,3,0,1, Contractor,M ,Fair,2-5 cedis cedis,2,Far                                                                           Commercial vehicle,No,Average,Average,27,Maybe,No,Yes,Less than an hour,Irregularly,Sometimes,Yes,Yes,No,,
311,68.6,3,0,1,Farmer,M ,Good,2-5 cedis cedis,1,Very Close                                                            Foot,No,Excellent,Average,36,Yes,No,Yes,1 hour,Regularly,Often,No,Yes,No,,
312,68.8,3,1,2,Baking,M ,Fair,2-5 cedis cedis,2,Close                                                                       Foot,Maybe,Average,Good,33,Yes,Yes,No,1 hour,Regularly,Sometimes,No,No,Yes,Sports,Maybe
313,69,3,0,2,Teacher,M ,Fair,2-5 cedis cedis,3,Far                                                                            Foot,No,Excellent,Excellent,30,Yes,Yes,Yes,1 hour,Irregularly,Sometimes,No,Yes,Yes,Sports,Yes
314,69.6,3,1,1,Teacher,Low,Good,6-10 cedis,2,Far                                                                            Foot,No,Average,Good,39,Yes,Maybe,Yes,1 hour,Irregularly,Sometimes,No,Yes,Yes,Sports,Yes
315,69.7,3,0,1,Teacher,M ,Good,6-10 cedis,2,Far                                                                            Foot,No,Average,Average,38,Yes,No,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
316,70,2,1,1,Carpenter,M ,Good,6-10 cedis,3,Far                                                                            Guardian's car,No,Average,Average,20,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
317,70,2,0,1,Teacher,M ,Fair,6-10 cedis,1,Far                                                                             Guardian's car,Maybe,Excellent,Excellent,20,Yes,Maybe,Maybe,1 hour,Irregularly,Not at all,Yes,Yes,No,,
318,70.9,2,1,1,Forestry,M ,Good,6-10 cedis,2,Far                                                                              Commercial vehicle,No,Excellent,Good,20,Yes,No,Yes,2 hours above,Regularly,Not at all,Yes,No,No,,
319,71,2,0,1,Trader,M ,Fair,6-10 cedis,3, Close                                                                        Commercial vehicle,Yes,Average,Excellent,38,Yes,Maybe,Maybe,1 hour,Irregularly,Sometimes,No,No,No,,
320,71.2,2,1,1,Trader,M ,Fair,2-5 cedis cedis,3,Far                                                                              Foot,No,Average,Average,58,Yes,No,No,Less than an hour,Regularly,Sometimes,Yes,No,No,,
321,71.7,2,0,1,Driver,Low,Poor,2-5 cedis cedis,2,Far                                                                               Commercial vehicle,Yes,Average,Good,48,No,Yes,No,Less than an hour,Not at all,Sometimes,No,No,No,,
322,71.7,2,1,1,Lecturer,high,Good,6-10 cedis,3,Far                                                                               Commercial vehicle,No,Excellent,Good,20,Yes,Yes,Yes,2 hours above,Regularly,Not at all,Yes,No,No,,
323,72,2,0,1,Businessman,M ,Good,6-10 cedis,2,Far                                                                               Commercial vehicle,No,Average,Excellent,20,Yes,Yes,Maybe,Less than an hour,Regularly,Not at all,Yes,Yes,No,,
324,72.1,2,0,1,Trader,M ,Good,6-10 cedis,3,Very Close                                                                Foot,No,Excellent,Good,58,Maybe,No,Yes,2 hours above,Regularly,Sometimes,Yes,Yes,No,,
325,72.6,2,0,1,Trader,M ,Fair,2-5 cedis cedis,2,Very Far                                                                      Commercial vehicle,Maybe,Average,Good,54,Yes,Yes,Maybe,1 hour,Irregularly,Sometimes,No,No,No,,
326,72.7,2,0,1,Trader,M ,Good,2-5 cedis cedis,1,Far                                                                               Foot,No,Average,Good,36,Yes,No,Yes,Less than an hour,Regularly,Sometimes,No,No,Yes,Quiz,No
327,73,2,0,1,Tailor,high,Good,6-10 cedis,3,Very Close                                                                Foot,No,Average,Excellent,38,Yes,Maybe,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
328,73.6,2,0,2,Teacher,high,Fair,11 cedis and above,3,Far                                                                                Guardian's car,Maybe,Average,Average,37,No,Yes,Maybe,2 hours above,Regularly,Sometimes,Yes,Yes,Yes,Quiz,Yes
329,74,2,0,1,Trader,M ,Good,2-5 cedis cedis,2,Very Far                                                                      Foot,No,Excellent,Good,32,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
330,74,2,0,2,Trader,M ,Good,11 cedis and above,3,Very Far                                                                       Foot,Yes,Average,Good,32,Yes,No,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
331,74.3,2,1,1,Trader,M ,Good,6-10 cedis,1,Very Close                                                                   Foot,No,Excellent,Good,37,Yes,No,Yes,2 hours above,Regularly,Often,Yes,Yes,No,,
332,74.5,2,0,1,Trader,M ,Good,2-5 cedis cedis,2,Close                                                                             Foot,Yes,Excellent,Excellent,32,Yes,Yes,Yes,2 hours above,Regularly,Often,Yes,Yes,Yes,Music,Yes
333,74.6,2,0,1,Teacher,Low,Good,6-10 cedis,2,Far                                                                                    Foot,No,Average,Excellent,39,Yes,Maybe,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
334,74.7,2,0,2,Dress Maker,M ,Good,2-5 cedis cedis,3,Close                                                                             Foot,No,Excellent,Excellent,27,Yes,Yes,Yes,2 hours above,Regularly,Not at all,Yes,No,No,,
335,75.2,2,1,1,Driver,high,Good,6-10 cedis,2,Far                                                                                    Foot,No,Excellent,Excellent,62,Yes,Yes,Yes,1 hour,Regularly,Sometimes,Yes,Yes,No,,
336,75.2,2,1,1,Farmer,M ,Fair,6-10 cedis,3,Very Close                                                                      Foot,No,Average,Average,38,Yes,No,Yes,Less than an hour,Regularly,Sometimes,No,No,Yes,Sports,Yes
337,75.3,2,1,1,Driver,Low,Good,2-5 cedis cedis,1,Far                                                                                    Foot,Maybe,Average,Average,32,No,No,No,Less than an hour,Regularly,Often,Yes,Yes,Yes,Sports,Yes
338,76.1,2,0,1,Trader,M ,Good,2-5 cedis cedis,2,Far                                                                                    Foot,Maybe,Excellent,Average,36,Yes,No,Yes,1 hour,Regularly,Often,Yes,Yes,Yes,Sports,No
339,76.3,2,0,1,Trader,M ,Fair,6-10 cedis,2,Far                                                                             Commercial vehicle,No,Excellent,Good,37,Maybe,Yes,Yes,1 hour,Regularly,Often,No,Yes,Yes,Sports,No
340,76.5,2,0,1,Farmer,M ,Fair,6-10 cedis,3,Close                                                                             Foot,No,Average,Excellent,35,No,No,Yes,1 hour,Regularly,Not at all,Yes,No,No,,
341,76.6,2,1,1,Trader,M ,Fair,6-10 cedis,3,Far                                                                              Commercial vehicle,No,Average,Good,38,No,No,Maybe,1 hour,Regularly,Not at all,No,No,No,,
342,77,2,0,1,Trader,Low,Fair,6-10 cedis,2,Far                                                                             Commercial vehicle,Maybe,Excellent,Good,27,Maybe,Yes,Yes,Less than an hour,Regularly,Sometimes,Yes,No,Yes,Sports,Yes
343,77.1,2,1,1,Trader,M ,Good,6-10 cedis,3,Far                                                                                    Foot,No,Excellent,Good,33,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
344,77.3,2,0,1,Trader,M ,Fair,6-10 cedis,3,Very Far                                                                         Foot,No,Average,Good,32,Yes,No,Yes,Less than an hour,Regularly,Sometimes,Yes,Yes,Yes,Sports,Yes
345,78.4,2,1,1,Teacher,M ,Fair,6-10 cedis,3,Far                                                                              Commercial vehicle,No,Average,Average,32,Maybe,Maybe,Maybe,2 hours above,Irregularly,Sometimes,No,No,No,,
346,78.5,2,1,1,Trader,M ,Fair,2-5 cedis cedis,2,Very Close                                                                      Foot,No,Average,Average,32,Yes,No,No,2 hours above,Regularly,Sometimes,Yes,No,No,,
347,78.7,2,0,1,Trader,high,Good,6-10 cedis,2,Close                                                                           Commercial vehicle,Yes,Average,Good,39,Yes,No,Yes,1 hour,Regularly,Sometimes,Yes,Yes,Yes,Sports,Yes
348,79.2,2,0,1,Carpenter,M ,Good,2-5 cedis cedis,3,Far                                                                                Commercial vehicle,No,Excellent,Good,35,No,No,Yes,Less than an hour,Regularly,Sometimes,Yes,Yes,No,,
349,79.4,2,0,1,Banker,M ,Fair,11 cedis and above,3,Far                                                                              Guardian's car,No,Average,Excellent,20,Yes,No,Maybe,1 hour,Regularly,Not at all,Yes,Yes,No,,
350,80.5,1,0,2,Carpenter,M ,Good,2-5 cedis cedis,3,Very Far                                                                    Commercial vehicle,No,Average,Excellent,37,Yes,No,Yes,1 hour,Regularly,Sometimes,Yes,Yes,No,,
351,82,1,0,1,Driver,M ,Good,6-10 cedis,2,Close                                                                             Foot,No,Excellent,Excellent,58,No,No,Yes,1 hour,Regularly,Sometimes,No,No,No,,
352,82.6,1,0,1,Engineer,M ,Fair,2-5 cedis cedis,1,Very Far                                                                    Commercial vehicle,No,Excellent,Good,62,No,No,No,1 hour,Not at all,Not at all,Yes,No,No,,
353,83.2,1,0,1,Trader,M ,Fair,6-10 cedis,2,Very Far                                                                         Foot,No,Average,Good,63,No,No,Yes,1 hour,Regularly,Sometimes,Yes,No,No,,
354,84.2,1,0,1,Trader,M ,Good,6-10 cedis,2,Far                                                                                    Foot,No,Average,Excellent,56,Yes,No,No,Less than an hour,Regularly,Sometimes,Yes,No,No,,
355,84.3,1,1,1,Trader,M ,Good,6-10 cedis,2,Far                                                                                    Foot,No,Excellent,Good,65,Yes,No,Yes,2 hours above,Regularly,Sometimes,No,No,No,,
356,84.4,1,1,1,Carpenter,M ,Good,2-5 cedis cedis,2,Far                                                                                    Foot,No,Excellent,Excellent,84,Yes,Yes,Yes,1 hour,Regularly,Not at all,No,Yes,Yes,Sports,Yes
357,85.4,1,1,1,Trader,M ,Good,2-5 cedis cedis,2,Far                                                                                    Foot,No,Excellent,Good,60,Yes,No,Yes,2 hours above,Regularly,Not at all,No,Yes,No,,
358,85.7,1,1,1,Trader,M ,Good,2-5 cedis cedis,2,Far                                                                                     Foot,No,Excellent,Good,54,Yes,No,Yes,1 hour,Regularly,Not at all,No,Yes,No,,
359,85.7,1,0,1,Farmer,M ,Good,2-5 cedis cedis,1,Very Close                                                            Foot,No,Excellent,Average,36,Yes,No,Yes,1 hour,Regularly,Often,No,Yes,No,,
360,86,1,1,2,Baker,M ,Fair,2-5 cedis cedis,2,Close                                                                       Foot,Maybe,Average,Good,33,Yes,Yes,No,1 hour,Regularly,Sometimes,No,No,Yes,Sports,Maybe
361,86.5,1,0,1,Trader,high,Good,6-10 cedis,2,Close                                                                           Commercial vehicle,Yes,Average,Good,39,Yes,No,Yes,1 hour,Regularly,Sometimes,Yes,Yes,Yes,Sports,Yes
362,86.9,1,0,1,Carpenter,M ,Good,2-5 cedis cedis,3,Far                                                                                Commercial vehicle,No,Excellent,Good,35,No,No,Yes,Less than an hour,Regularly,Sometimes,Yes,Yes,No,,
363,88.2,1,0,1,Banker,M ,Fair,11 cedis and above,3,Far                                                                              Guardian's car,No,Average,Excellent,20,Yes,No,Maybe,1 hour,Regularly,Not at all,Yes,Yes,No,,
364,90.6,1,1,2,Banker,M ,Fair,2-5 cedis cedis,2,Close                                                                       Foot,Maybe,Average,Good,33,Yes,Yes,No,1 hour,Regularly,Sometimes,No,No,Yes,Sports,Maybe
